d       s       a       m_i     
405     12      964     1 3 1 15 21 21 5 105 19 171 1187 1451 
406     12      982     1 1 7 3 27 7 31 25 339 107 827 2813 
407     12      985     1 1 3 3 7 9 5 241 419 19 303 1327 
408     12      991     1 3 3 5 1 17 105 143 345 953 857 2241 
409     12      992     1 3 7 5 11 63 39 49 3 601 1491 3095 
410     12      1067    1 1 5 1 27 35 25 231 265 27 83 511 
411     12      1070    1 3 5 3 29 1 119 39 81 551 1709 2105 
412     12      1096    1 3 1 5 29 31 99 93 391 691 411 637 
413     12      1099    1 3 5 1 21 53 81 171 303 987 1235 1559 
414     12      1116    1 3 3 5 7 63 51 89 257 489 275 2309 
415     12      1143    1 3 1 5 5 33 25 55 241 259 1213 2409 
416     12      1165    1 3 7 3 11 57 85 209 329 611 45 1183 
417     12      1178    1 3 3 15 3 15 31 27 363 291 1063 229 
418     12      1184    1 3 1 1 1 3 47 189 287 337 879 1881 
419     12      1202    1 1 3 5 9 11 65 237 499 431 1677 2503 
420     12      1213    1 3 1 15 3 17 101 23 367 643 1485 1625 
421     12      1221    1 3 3 13 9 3 87 11 137 835 1095 891 
422     12      1240    1 1 5 7 15 3 49 253 29 159 315 2133 
423     12      1246    1 1 3 15 11 11 17 37 287 35 813 2715 
424     12      1252    1 1 1 9 3 51 57 205 385 157 811 627 
425     12      1255    1 3 7 15 13 33 65 117 339 805 19 3775 
426     12      1267    1 3 5 5 9 5 25 177 469 599 1527 3799 
427     12      1293    1 1 3 9 1 45 65 69 121 263 1355 1205 
428     12      1301    1 1 3 3 3 33 121 163 95 137 1393 4017 
429     12      1305    1 3 7 7 19 27 17 239 253 305 1929 1725 
430     12      1332    1 3 5 7 5 19 115 95 93 87 1379 3295 
431     12      1349    1 3 3 3 5 51 7 171 153 329 1627 3503 
432     12      1384    1 1 5 9 27 15 91 99 433 689 1551 1827 
433     12      1392    1 3 3 11 17 35 29 203 171 513 771 2011 
434     12      1402    1 3 5 11 29 57 69 239 87 477 187 4079 
435     12      1413    1 1 1 11 9 25 37 41 113 339 1347 3475 
436     12      1417    1 3 1 15 17 17 53 17 327 123 915 655 
